EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,121.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,122.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,123.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,124.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,125.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,126.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,127.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,128.000,0.000
-125.706,-146.717,-126.958,-122.577,-123.024,-110.954,-117.123,-97.990,-0.040,1.006,-0.048,0.763,-0.519,0.854,93.333,129.000,0.000
-121.504,-139.296,-122.398,-118.375,-117.928,-107.020,-114.262,-94.861,-0.027,1.000,-0.065,1.129,3.540,0.763,93.333,130.000,1.000
-121.236,-139.296,-122.488,-118.464,-117.838,-107.110,-114.352,-94.682,-0.030,0.998,-0.061,0.732,3.418,0.854,93.333,131.000,1.000
-121.236,-139.207,-122.577,-118.285,-117.928,-107.288,-114.262,-94.682,-0.031,0.998,-0.061,0.549,3.387,0.946,93.333,132.000,1.000
-121.236,-139.117,-122.577,-118.196,-118.017,-107.288,-114.173,-94.593,-0.031,0.994,-0.061,0.336,3.235,1.068,93.333,133.000,1.000
-121.236,-139.207,-122.398,-118.375,-118.017,-107.199,-114.083,-94.414,-0.027,0.989,-0.060,0.336,3.143,1.190,93.333,134.000,1.000
-121.236,-139.385,-122.488,-118.196,-118.107,-107.199,-114.083,-94.682,-0.026,0.985,-0.066,0.336,3.174,1.251,93.333,135.000,1.000
-121.057,-139.385,-122.130,-118.285,-117.749,-107.020,-114.262,-94.503,-0.024,0.980,-0.068,0.397,3.113,1.251,93.333,136.000,1.000
-121.057,-139.028,-122.130,-118.285,-117.749,-107.020,-113.994,-94.771,-0.023,0.983,-0.064,0.519,3.174,1.190,93.333,137.000,1.000
-121.146,-138.938,-122.130,-118.196,-117.749,-107.020,-114.173,-94.682,-0.023,0.983,-0.067,0.854,3.143,1.099,93.333,138.000,1.000
-121.057,-138.938,-122.130,-118.196,-117.838,-106.931,-113.994,-94.682,-0.026,0.984,-0.067,0.977,3.082,0.916,93.333,139.000,1.000
-120.968,-139.028,-122.041,-118.464,-117.928,-106.841,-114.173,-94.682,-0.027,0.988,-0.066,1.038,3.021,0.854,93.333,140.000,1.000
-121.057,-139.117,-122.130,-118.375,-117.749,-107.020,-113.994,-94.593,-0.031,0.993,-0.063,1.160,2.930,0.732,93.333,141.000,1.000
-121.146,-139.385,-122.219,-118.107,-117.749,-106.752,-114.083,-94.414,-0.027,1.000,-0.064,1.160,2.808,0.580,93.333,142.000,1.000
